NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Mawphlang,town,,,,,91.77879010000,25.47687980000
Dispur,town,,,,,91.79102650000,26.14093550000
Kyrdem Kulai,village,,,,,91.80489310000,25.77109440000
Nongjri,village,,,,,91.80842210000,25.17810030000
Goibarigoan,village,,,,,91.82320000000,26.78790000000
Umling,town,,,,,91.86756190000,25.97020880000
Sylhet,city,,,,,91.86881010000,24.89909110000
Shillong,city,,,,,91.87509580000,25.57659480000
Myrdon,village,,,,,91.87629940000,25.75579530000
Jorabat,village,,,,,91.87732040000,26.09931570000
Umsning,town,,,,,91.88726300000,25.74553400000
La Chaumiere Hills,village,,,,,91.88739540000,25.56765630000
Patharughat,village,,,,,91.89110000000,26.45520000000
Risa Colony,locality,,,,,91.89391350000,25.56184020000
Pynursla,village,,,,,91.89560000000,25.34880000000
SIPAJHAR,locality,,,,,91.89652000000,26.39740000000
Pynursla,town,,,,,91.90137020000,25.30547280000
Fenchuganj,town,,,,,91.93922290000,24.69424650000
Tangla,village,,,,,91.94530000000,26.64380000000
Sonapur,village,,,,,91.96875660000,26.11205190000
Kalaigaon,village,,,,,91.96950000000,26.59280000000
Barapani,village,,,,,91.97625470000,25.69437840000
Kailashahar,village,,,,,91.99972210000,24.31951570000
Golapgong,town,,,,,92.01300040000,24.85688150000
Dauki,village,,,,,92.02157170000,25.18563430000
Mangaldal,village,,,,,92.03030000000,26.43480000000
Ka,town,,,,,92.03677400000,24.52370830000
Umroi,village,,,,,92.03965470000,25.71388600000
Umsaw,village,,,,,92.04883630000,25.90034390000
Mawkynrew,town,,,,,92.05872800000,25.45747940000
Mawryngkneng,town,,,,,92.07383940000,25.55084560000
DHVLA,locality,,,,,92.09290000000,26.48666000000
Nakhola,village,,,,,92.09505660000,26.11355190000
Udalguri,town,,,,,92.09702000000,26.74896000000
DOIFAM,locality,,,,,92.10800000000,26.89316000000
BHAIRAB KUND,locality,,,,,92.11350000000,26.88355000000
Khoirabari,village,,,,,92.12060000000,26.86280000000
KHAIRABARI,locality,,,,,92.12448000000,26.84921000000
Amlarem,town,,,,,92.12527420000,25.31291600000
Pecharthal,village,,,,,92.13462520000,24.20394320000
Muktapur,village,,,,,92.13848940000,25.16832490000
KHARUPETIA,locality,,,,,92.13959000000,26.51550000000
Panisagar,town,,,,,92.15680370000,24.28500190000
Dharmanagar,town,,,,,92.16558050000,24.37342680000
Thadlaskein,town,,,,,92.16879010000,25.50820040000
Rngat,village,,,,,92.19255540000,25.32759400000
Jowai,town,,,,,92.19501140000,25.44173610000
DALGOAN,locality,,,,,92.20001000000,26.55670000000
Kaupati,village,,,,,92.20039170000,26.55586640000
Rowta,village,,,,,92.20542050000,26.71231160000
,village,,,,,92.20832670000,25.56528410000
DIRANG,locality,,,,,92.24121000000,27.36008000000
Jaintia Hills,county,,,,,92.25000000000,25.50000000000
DIRANG DZONG,locality,,,,,92.27280000000,27.34360000000
Kseh Kyntang,village,,,,,92.28260000000,25.85360000000
Bapung,village,,,,,92.29589610000,25.42273480000
Mynso,village,,,,,92.29985700000,25.59133520000
Dengarband,village,,,,,92.30170000000,24.40100000000
Dirang Dzong,village,,,,,92.30390000000,27.31960000000
Pathar Kandi,village,,,,,92.31940300000,24.60552500000
MUNNA,locality,,,,,92.32636000000,27.33536000000
ORAOG,locality,,,,,92.33096800000,26.69884100000
Damchara,village,,,,,92.34260000000,24.19220000000
West Kameng,county,,,,,92.35000000000,27.40000000000
